HG38-CHR-N,RPTRF,Dot2dot,Sci,TRF
,Short Tandem Repeats (Core 1 to 10),,,
1,0m22.683s,1m12.376s,0m41.249s,7m26.027s
2,0m20.427s,1m9.493s,0m42.772s,8m26.968s
3,0m17.991s,1m2.850s,0m35.706s,5m42.013s
4,0m18.431s,0m44.156s,0m33.848s,5m56.167s
5,0m14.956s,0m42.268s,0m32.319s,2m47.276s
15,0m6.912s,0m42.849s,0m16.078s,4m28.710s
16,0m6.725s,0m22.090s,0m15.788s,7m26.027s
Y,0m2.183s,0m12.157s,0m6.369s,3m48.050s
,Tandem Repeats(Core 1 to 30 ),,,
1,0m42.412s,2m55.630s,NA,7m26.027s
2,0m43.295s,2m54.247s,NA,8m26.968s
3,0m35.662s,2m16.156s,NA,5m42.013s
4,0m34.385s,2m8.422s,NA,5m56.167s
5,0m32.369s,2m2.655s,NA,2m47.276s
15,0m14.969s,1m22.868s,NA,4m28.710s
16,0m14.250s,1m1.367s,NA,7m26.027s
Y,0m4.408s,0m37.538s,NA,3m48.050s
,Long Tandem Repeats (Core 1 to 100),,,
1,1m6.192s,19m25.472s,NA,7m26.027s
2,1m9.227s,18m40.265s,NA,8m26.968s
3,0m56.662s,15m21.638s,NA,5m42.013s
4,0m54.924s,14m38.843s,NA,5m56.167s
5,0m58.821s,13m57.547s,NA,2m47.276s
15,0m23.752s,7m46.963s,NA,4m28.710s
16,0m22.782s,6m55.032s,NA,7m26.027s
Y,0m7.113s,4m20.126s,NA,3m48.050s
